case_id,activity,timestamp_raw,timestamp_iso,year,resource,category,case_item_category,case_company,case_document_type
2000000001_00001,SRM: In Transfer to Execution Syst.,2019-01-17T10:58:00.000Z,2019-01-17T10:58:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000001_00001,SRM: Transfer Failed (E.Sys.),2019-01-17T10:58:00.000Z,2019-01-17T10:58:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000002_00001,SRM: In Transfer to Execution Syst.,2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000002_00001,SRM: Transfer Failed (E.Sys.),2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000006_00001,SRM: In Transfer to Execution Syst.,2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000006_00001,Change Delivery Indicator,2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_000,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000010_00001,SRM: In Transfer to Execution Syst.,2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000010_00001,SRM: Transfer Failed (E.Sys.),2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000011_00001,SRM: In Transfer to Execution Syst.,2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000011_00001,SRM: Transfer Failed (E.Sys.),2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000014_00001,SRM: In Transfer to Execution Syst.,2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000014_00001,SRM: Transfer Failed (E.Sys.),2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000015_00001,SRM: In Transfer to Execution Syst.,2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000015_00001,SRM: Transfer Failed (E.Sys.),2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000016_00001,Clear Invoice,2019-01-03T15:12:00.000Z,2019-01-03T15:12:00+00:00,2019,user_005,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000016_00001,Clear Invoice,2019-01-10T14:45:00.000Z,2019-01-10T14:45:00+00:00,2019,user_002,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000017_00001,Record Invoice Receipt,2019-01-03T04:12:00.000Z,2019-01-03T04:12:00+00:00,2019,user_001,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000017_00001,Record Invoice Receipt,2019-01-03T05:21:00.000Z,2019-01-03T05:21:00+00:00,2019,user_001,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000017_00001,Clear Invoice,2019-01-03T15:12:00.000Z,2019-01-03T15:12:00+00:00,2019,user_005,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000017_00001,Clear Invoice,2019-01-04T22:59:00.000Z,2019-01-04T22:59:00+00:00,2019,NONE,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000017_00001,SRM: In Transfer to Execution Syst.,2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000017_00001,SRM: Transfer Failed (E.Sys.),2019-01-17T10:59:00.000Z,2019-01-17T10:59:00+00:00,2019,user_003,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000018_00001,Record Invoice Receipt,2019-01-04T06:54:00.000Z,2019-01-04T06:54:00+00:00,2019,user_020,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000018_00001,Clear Invoice,2019-01-04T22:59:00.000Z,2019-01-04T22:59:00+00:00,2019,NONE,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000019_00001,Clear Invoice,2019-01-03T15:12:00.000Z,2019-01-03T15:12:00+00:00,2019,user_005,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
2000000019_00001,Clear Invoice,2019-01-04T22:59:00.000Z,2019-01-04T22:59:00+00:00,2019,NONE,boundary,"3-way match, invoice after GR",companyID_0000,EC Purchase order
