kappa,transition,epsilon_primary,epsilon_sat,epsilon_diagnostic,worst_case_cvar95,h1_frequency_share,diagnostic_h1_score,diagnostic_rank,diagnostic_saturated,diagnostic_saturated_count,top3,top5,top10
0.5,Record Invoice Receipt -> Clear Invoice,154.38632903592372,0.0,0.0,2160.0,0.1013508086210476,218.9177466214628,1,True,3,True,True,True
0.5,Record Goods Receipt -> Record Invoice Receipt,153.99422161399926,34.1163634841222,17.0581817420611,1818.8363651587779,0.0874320086931877,159.02451689004818,2,False,3,True,True,True
0.5,Create Purchase Order Item -> Vendor creates invoice,56.64266633175524,41.41494381424089,20.707471907120446,1745.8505618575914,0.090898068736199,158.694444374863,3,False,3,True,True,True
0.5,Vendor creates invoice -> Record Invoice Receipt,131.40332856009834,35.64693845069464,17.82346922534732,1803.5306154930533,0.0746089505279414,134.55952646694894,4,False,3,False,True,True
0.5,Create Purchase Order Item -> Record Goods Receipt,35.68772959829524,44.49850506349465,22.249252531747324,1715.0149493650533,0.0617934701065582,105.97672500588985,5,False,3,False,True,True
0.5,Remove Payment Block -> Clear Invoice,228.2619917382968,0.0,0.0,2160.0,0.0335330321432739,72.43134942947162,6,True,3,False,False,True
0.5,Record Goods Receipt -> Vendor creates invoice,33.152149910746864,82.37392628693277,33.152149910746864,1175.5644724762828,0.0600248246888957,70.56305137088303,7,False,3,False,False,True
0.5,Vendor creates invoice -> Record Goods Receipt,10.121951103156832,94.13773073727572,10.121951103156832,479.68440731762473,0.0859528330910981,41.23023379857411,8,False,3,False,False,True
0.5,Record Invoice Receipt -> Remove Payment Block,504.7194124151218,24.58807947019871,12.294039735099355,1914.1192052980127,0.0208600133065182,39.92855209277859,9,False,3,False,False,True
0.5,Record Goods Receipt -> Remove Payment Block,37.51854220587054,72.31326315789472,36.15663157894736,1436.8673684210517,0.0145265349856856,20.872704097158408,10,False,3,False,False,True
0.5,Receive Order Confirmation -> Record Goods Receipt,39.559648078649,72.81053796767776,36.40526898383888,1431.8946203232235,0.0143795267547402,20.589967002906352,11,False,3,False,False,False
0.5,Create Purchase Order Item -> Change Quantity,86.35319524849585,36.84404061998938,18.42202030999469,1791.559593800107,0.0091963499523359,16.475808985050538,12,False,3,False,False,False
0.5,Record Invoice Receipt -> Record Goods Receipt,22.738039683082924,89.80229885057484,22.738039683082924,818.7148166501637,0.0152115630309156,12.453932037818474,13,False,3,False,False,False
0.5,Change Quantity -> Record Goods Receipt,84.82925663306277,59.29187890437295,29.645939452186475,1567.0812109562708,0.0065153441735485,10.210073437281267,14,False,3,False,False,False
0.5,Receive Order Confirmation -> Vendor creates invoice,52.21935034703996,74.77133728890928,37.38566864445464,1412.2866271109085,0.0068790758789803,9.715226870765097,15,False,3,False,False,False
0.5,Create Purchase Order Item -> Delete Purchase Order Item,91.01370306195554,55.386001609010506,27.693000804505253,1606.139983909895,0.0059348889936301,9.532262512736061,16,False,3,False,False,False
0.5,Create Purchase Order Item -> Receive Order Confirmation,11.139614503556183,98.04821170146796,11.139614503556183,421.8280560417663,0.0220891233611234,9.317811967089451,17,False,3,False,False,False
0.5,Change Quantity -> Vendor creates invoice,138.83326819831157,38.208885850991194,19.104442925495597,1777.911141490089,0.0047739786337934,8.48770980225692,18,False,3,False,False,False
0.5,Create Purchase Order Item -> Change Price,147.64950902032788,51.26598322460397,25.632991612301986,1647.3401677539607,0.0050407152177767,8.303772652452212,19,False,3,False,False,False
0.5,Record Goods Receipt -> Record Goods Receipt,3.924989643957855,102.35025439857084,3.924989643957855,191.49470490774283,0.0390875183949732,7.485052800621363,20,False,3,False,False,False
0.5,Vendor creates invoice -> Create Purchase Order Item,445.86538180835663,0.9188882586500392,0.4594441293250196,2150.8111174134997,0.0029644133992698,6.375893295759029,21,False,3,False,False,False
0.5,Change Price -> Vendor creates invoice,72.31663020256588,49.04630541871928,24.52315270935964,1669.536945812808,0.0031947768127099,5.333797922445264,22,False,3,False,False,False
0.5,Record Invoice Receipt -> Record Invoice Receipt,65.08857712380374,67.40037523452168,33.70018761726084,1485.9962476547842,0.0033281451047016,4.945611137237217,23,False,3,False,False,False
0.5,Record Invoice Receipt -> Vendor creates invoice,84.08055326374463,67.51972318339111,33.759861591695554,1484.8027681660901,0.0026613036447432,3.9515110186452085,24,False,3,False,False,False
0.5,Clear Invoice -> Record Invoice Receipt,618.3516813982625,52.36908576814334,26.18454288407167,1636.3091423185674,0.0023672871828524,3.873613659794948,25,False,3,False,False,False
0.5,Record Invoice Receipt -> Cancel Invoice Receipt,537.7453796416395,29.52462173314998,14.76231086657499,1864.7537826685007,0.001865640539111,3.4789602524069383,26,False,3,False,False,False
0.5,Record Service Entry Sheet -> Vendor creates invoice,186.8638376057611,66.94143646408847,33.470718232044234,1490.585635359116,0.0022960563905387,3.422468673711487,27,False,3,False,False,False
0.5,Record Invoice Receipt -> Change Price,219.475689852838,32.28292682926836,16.14146341463418,1837.170731707317,0.0017625832225719,3.2381663087074584,28,False,3,False,False,False
0.5,Change Price -> Record Goods Receipt,108.42857078716206,55.82761506276158,27.91380753138079,1601.7238493723848,0.0019262624900163,3.085340570410543,29,False,3,False,False,False
0.5,Vendor creates invoice -> Change Quantity,53.8888128160125,79.88990825688083,39.944954128440415,1361.1009174311928,0.0021232838304585,2.8900035696038815,30,False,3,False,False,False
0.5,Cancel Invoice Receipt -> Clear Invoice,212.4794630837734,42.80547945205485,21.402739726027423,1731.945205479452,0.001626183833035,2.8164612928531656,31,False,3,False,False,False
0.5,Change Quantity -> Change Quantity,57.3026113057588,60.94681778552756,30.47340889276378,1550.5318221447258,0.0017898631004793,2.7752396945757773,32,False,3,False,False,False
0.5,Vendor creates invoice -> Clear Invoice,740.3163628640776,0.0,0.0,2160.0,0.0012124390181062,2.618868279109392,33,True,3,False,False,False
0.5,Clear Invoice -> Clear Invoice,243.63475542664423,45.69712793733689,22.848563968668444,1703.0287206266316,0.0014458335290917,2.4622960252881256,34,False,3,False,False,False
0.5,Create Purchase Order Item -> Change Approval for Purchase Order,39.71076252252803,91.80956340956351,39.71076252252803,1118.0239822592916,0.0021929990739996,2.451825557803972,35,False,3,False,False,False
0.5,Create Purchase Requisition Item -> Create Purchase Order Item,52.01022786656521,90.06605504587165,45.033027522935825,1259.3394495412842,0.0016595259060329,2.0899064410029733,36,False,3,False,False,False
0.5,Vendor creates debit memo -> Record Invoice Receipt,218.92541708377763,32.71781701444627,16.358908507223134,1832.8218298555375,0.001118474994203,2.049965385522804,37,False,3,False,False,False
0.5,Create Purchase Order Item -> Vendor creates debit memo,128.8322012820513,45.09933774834441,22.549668874172205,1709.006622516556,0.0011821280426536,2.020264653557536,38,False,3,False,False,False
0.5,Change Price -> Remove Payment Block,43.87364502164501,87.29818913480898,43.64909456740449,1287.0181086519115,0.0015170643214054,1.9524892536384733,39,False,3,False,False,False
0.5,Vendor creates invoice -> Vendor creates invoice,68.23408453286882,64.13065326633173,32.06532663316587,1518.6934673366836,0.0012715454202389,1.9310877231386954,40,False,3,False,False,False
0.5,Change Approval for Purchase Order -> Change Approval for Purchase Order,410.08195941601207,12.279611650485457,6.139805825242728,2037.2038834951454,0.0009184225562154,1.8710139982115515,41,False,3,False,False,False
0.5,Change Price -> Change Quantity,277.1537126595605,24.15766423357667,12.078832116788336,1918.4233576642332,0.0009032670684891,1.7328486423983882,42,False,3,False,False,False
0.5,Release Purchase Order -> Change Approval for Purchase Order,72.7471794871795,86.4223776223777,43.21118881118885,1295.7762237762238,0.0013003408469189,1.6849507522425489,43,False,3,False,False,False
0.5,Record Service Entry Sheet -> Record Invoice Receipt,135.57973474001142,61.571209800918886,30.785604900459443,1544.2879019908114,0.0010836173724324,1.6734171986344268,44,False,3,False,False,False
0.5,Record Service Entry Sheet -> Record Goods Receipt,3.2958454841271414,105.5914266577362,3.2958454841271414,114.08837652782069,0.0135808325515627,1.5494151377039689,45,False,3,False,False,False
0.5,Record Goods Receipt -> Change Quantity,50.423635780885775,74.45194805194816,37.22597402597408,1415.48051948052,0.0010836173724324,1.5338392812487296,46,False,3,False,False,False
0.5,Vendor creates debit memo -> Record Goods Receipt,45.24399081937967,84.64516129032268,42.32258064516134,1313.5483870967741,0.0011533326159735,1.5149581974980941,47,False,3,False,False,False
