case_start_month2,cases,median_cycle_hours,p90_cycle_hours,p95_cycle_hours,median_available_followup_days,p95_to_followup_ratio,end_after_cutoff_share_pct
2018-01,21268,1847.05,3240.2166666666667,4473.3641666666645,366.0222222222222,0.5092318506769471,0.0
2018-02,20894,1800.55,3213.57,4254.283333333334,337.91527777777776,0.524574700265928,0.0
2018-03,24845,1844.7,3717.8366666666707,4553.61,308.66319444444446,0.6146950897125822,0.0
2018-04,22460,1852.4333333333334,3432.5,4395.2,277.2083333333333,0.6606343003156471,0.0
2018-05,23000,1827.775,3098.366666666667,3605.0833333333335,246.19791666666666,0.6101262252309428,0.0
2018-06,22271,1897.35,3097.35,3582.35,217.95555555555555,0.6848395442495921,0.0
2018-07,21081,1892.7666666666667,3097.25,3388.5833333333335,186.23819444444442,0.7581203879440532,0.0
2018-08,20198,1736.2416666666668,3072.4166666666665,3269.0025,155.07291666666666,0.8783509101900988,0.004950985246063967
2018-09,18650,1553.2333333333333,2752.6833333333334,2883.15,126.03298611111111,0.9531730835456986,0.0
2018-10,21855,1193.7333333333333,2112.983333333333,2249.1833333333334,93.64861111111111,1.000719296424281,0.0
2018-11,20616,899.4,1473.8666666666666,1551.75,63.606944444444444,1.0164967137585432,0.009701202949165696
2018-12,14128,516.925,863.45,917.3774999999996,37.606944444444444,1.016409683495217,0.0
