variant,case_count,rank,case_share_pct,cumulative_case_share_pct,variant_length
Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice,50286,1,20.013053895075338,20.013053895075338,5
Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice,30798,2,12.257129894215693,32.27018378929103,5
Create Purchase Order Item -> Record Goods Receipt,12191,3,4.851830331202789,37.12201412049382,2
Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice,11383,4,4.530258769590792,41.65227289008462,6
Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice,9694,5,3.8580627701320513,45.51033566021667,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice,8921,6,3.550420669728495,49.060756329945164,6
Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice,8835,7,3.516193993616327,52.57695032356149,6
Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice,7985,8,3.1779070785542016,55.75485740211569,6
Create Purchase Order Item -> Delete Purchase Order Item,5294,9,2.106930503928108,57.861787906043794,2
Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice,4244,10,1.6890466676748943,59.55083457371869,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt,4210,11,1.6755151910724093,61.226349764791095,5
Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt,3721,12,1.4809007187601984,62.70725048355129,3
Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt,3546,13,1.411253412717996,64.11850389626929,4
Create Purchase Order Item,2811,14,1.1187347273407464,65.23723862361004,1
Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt,2764,15,1.1000294508608408,66.33726807447088,4
Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice,2693,16,1.0717725438380044,67.4090406183089,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt,2221,17,0.8839238098270359,68.29296442813593,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt,2054,18,0.8174603806324772,69.11042480876841,5
Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice,1898,19,0.7553747821034282,69.86579959087184,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice,1871,20,0.7446291977426314,70.61042878861447,7
Vendor creates invoice -> Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice,1730,21,0.6885133683029141,71.29894215691739,5
Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice,1685,22,0.6706040610349192,71.96954621795231,7
Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice,1551,23,0.61727412383689,72.5868203417892,6
Create Purchase Requisition Item -> Create Purchase Order Item,1488,24,0.5922010936616972,73.1790214354509,2
Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice,1417,25,0.5639441866388608,73.74296562208977,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice,1305,26,0.5193699107718514,74.26233553286163,7
Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt,1107,27,0.4405689587926739,74.7029044916543,3
Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt,1005,28,0.39997452898521885,75.10287902063952,5
Create Purchase Requisition Item -> Create Purchase Order Item -> Delete Purchase Order Item,998,29,0.3971886367435308,75.50006765738306,3
Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt,983,30,0.3912188676541991,75.89128652503726,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block,981,31,0.3904228984422883,76.28170942347954,6
Create Purchase Order Item -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice,909,32,0.36176800681349647,76.64347743029303,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice,906,33,0.3605740529956301,77.00405148328866,7
Create Purchase Order Item -> Change Quantity -> Record Goods Receipt,796,34,0.31679574634053154,77.3208472296292,3
Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice,774,35,0.30804008500951185,77.6288873146387,6
Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice,727,36,0.2893348085296061,77.9182221231683,8
Create Purchase Order Item -> Receive Order Confirmation -> Delete Purchase Order Item,686,37,0.27301743968543296,78.19123956285374,3
