case_start_month,case_count,median_cycle_hours,p95_cycle_hours,followup_2019_share_pct
2018-01,21268,1847.05,4473.3641666666645,0.9638894113221741
2018-02,20894,1800.55,4254.283333333334,0.18187039341437733
2018-03,24845,1844.7,4553.61,0.21734755484000803
2018-04,22460,1852.4333333333334,4395.2,0.667853962600178
2018-05,23000,1827.775,3605.0833333333335,0.5565217391304348
2018-06,22271,1897.35,3582.35,1.8589196713214493
2018-07,21081,1892.7666666666667,3388.5833333333335,2.6137280015179543
2018-08,20198,1736.2416666666668,3269.0025,10.030696108525596
2018-09,18650,1553.2333333333333,2883.15,23.297587131367294
2018-10,21855,1193.7333333333333,2249.1833333333334,32.07046442461679
2018-11,20616,899.4,1551.75,46.41055490880869
2018-12,14128,516.925,917.3774999999996,56.37032842582106
